**************** QUERIES FOR LINENUMBER ATTRIBUTE ******************************
3	-	6
3	-	4
3	-	4
1	-	2
2	-	4
1	-	4
1	-	4
4	-	5
1	-	2
1	-	4
4	-	6
5	-	6
1	-	3
1	-	3
3	-	5
2	-	4
2	-	5
2	-	5
4	-	6
1	-	2
1	-	5
3	-	5
1	-	5
3	-	6
4	-	5
1	-	5
2	-	3
4	-	5
1	-	6
2	-	6
2	-	3
3	-	5
1	-	5
3	-	4
4	-	5
4	-	6
1	-	3
2	-	4
1	-	4
1	-	4
2	-	4
1	-	4
4	-	6
2	-	3
2	-	3
1	-	2
1	-	3
5	-	6
1	-	4
2	-	4
1	-	4
1	-	3
2	-	5
3	-	6
2	-	3
2	-	4
5	-	6
2	-	5
4	-	6
5	-	6
5	-	6
2	-	5
5	-	6
1	-	6
3	-	5
2	-	5
1	-	4
3	-	4
1	-	5
3	-	6
1	-	5
1	-	6
2	-	4
2	-	3
1	-	5
2	-	5
2	-	3
1	-	4
3	-	4
1	-	6
4	-	6
1	-	6
1	-	3
2	-	3
3	-	5
1	-	3
1	-	3
1	-	3
3	-	5
1	-	4
2	-	6
4	-	5
3	-	6
2	-	3
1	-	4
1	-	5
5	-	6
1	-	2
1	-	5
2	-	3
********************************************************************************


**************** QUERIES FOR QUANTITY ATTRIBUTE ******************************
3	-	44
25	-	38
3	-	13
6	-	14
12	-	16
23	-	28
7	-	28
2	-	19
31	-	38
37	-	48
29	-	40
32	-	39
10	-	34
26	-	33
37	-	39
2	-	18
16	-	38
22	-	42
36	-	42
10	-	20
19	-	38
7	-	8
33	-	42
22	-	48
22	-	31
14	-	21
2	-	36
44	-	46
14	-	28
27	-	31
11	-	48
21	-	28
27	-	47
22	-	23
41	-	48
10	-	40
21	-	22
22	-	27
9	-	14
10	-	49
14	-	37
2	-	23
33	-	47
4	-	27
10	-	33
19	-	37
6	-	19
2	-	6
33	-	48
1	-	44
27	-	40
6	-	20
28	-	45
27	-	36
38	-	45
13	-	30
39	-	44
2	-	41
20	-	26
2	-	9
4	-	37
21	-	33
23	-	44
8	-	43
9	-	27
9	-	38
27	-	37
15	-	34
19	-	47
29	-	34
33	-	34
11	-	47
25	-	29
8	-	44
27	-	42
24	-	40
30	-	35
27	-	41
16	-	21
17	-	44
16	-	45
30	-	31
1	-	46
22	-	39
28	-	39
34	-	45
10	-	13
4	-	35
12	-	17
15	-	33
38	-	49
35	-	43
45	-	46
10	-	49
16	-	28
6	-	17
17	-	43
6	-	33
2	-	33
40	-	49
********************************************************************************


**************** QUERIES FOR EXTENDEDPRICE ATTRIBUTE ******************************
3641	-	10275
2918	-	9790
11094	-	31884
22347	-	33317
11865	-	14498
4675	-	28041
23987	-	33461
8489	-	29456
13443	-	19941
7935	-	28833
5847	-	21780
7198	-	16686
10957	-	12935
15338	-	21878
12432	-	12824
1922	-	7505
5856	-	6249
11165	-	17223
9415	-	32363
17487	-	20419
6796	-	22302
13600	-	28026
6497	-	18458
5857	-	32133
20044	-	20580
2779	-	25520
13444	-	24898
18637	-	28020
22660	-	30696
14363	-	15165
20830	-	31315
7579	-	23189
23414	-	25682
15594	-	27213
1695	-	19092
13451	-	14668
12697	-	29165
15248	-	29031
2204	-	15612
1363	-	16797
13184	-	15296
2759	-	32827
13018	-	21933
1408	-	12496
13174	-	16113
939	-	16043
10254	-	24816
926	-	13637
3627	-	18715
22997	-	27576
4045	-	25732
17345	-	30955
13808	-	19469
22388	-	30816
4865	-	12846
2713	-	7470
6368	-	13992
13004	-	26920
20024	-	25702
22094	-	26906
14397	-	31866
9102	-	22462
6415	-	26093
3748	-	24631
23368	-	25069
20710	-	31728
20703	-	22047
1753	-	26538
9147	-	18119
5912	-	15624
12048	-	16801
21345	-	30587
7692	-	21741
10577	-	18176
8880	-	14284
3648	-	15674
25231	-	32316
19454	-	26413
27390	-	32543
15961	-	31664
3567	-	33556
9382	-	13149
25746	-	30487
14011	-	21136
15135	-	22371
9098	-	30529
14330	-	30866
6578	-	17004
5515	-	20343
30282	-	30912
12306	-	28286
29788	-	30745
8208	-	30724
5362	-	33262
24581	-	32459
5011	-	16073
23001	-	28746
2972	-	3687
26388	-	30125
12368	-	31397
********************************************************************************


**************** QUERIES FOR TAX ATTRIBUTE ******************************
0	-	5
1	-	3
3	-	7
0	-	4
4	-	6
5	-	7
0	-	1
3	-	4
1	-	6
1	-	2
2	-	6
0	-	4
1	-	6
1	-	7
5	-	7
2	-	7
4	-	6
4	-	7
1	-	5
4	-	6
0	-	2
6	-	7
4	-	5
1	-	5
5	-	6
1	-	6
0	-	1
2	-	6
5	-	7
1	-	5
3	-	4
1	-	4
5	-	6
0	-	6
2	-	4
4	-	5
6	-	7
1	-	6
1	-	3
2	-	5
0	-	5
3	-	4
4	-	6
0	-	1
2	-	4
3	-	5
4	-	7
0	-	3
1	-	7
0	-	5
1	-	6
0	-	5
4	-	5
1	-	3
0	-	3
0	-	2
0	-	2
2	-	3
2	-	3
3	-	4
1	-	4
1	-	7
4	-	7
3	-	5
2	-	5
1	-	4
5	-	6
2	-	6
1	-	4
4	-	6
4	-	7
0	-	6
3	-	5
0	-	3
0	-	2
2	-	6
3	-	4
0	-	6
5	-	7
6	-	7
5	-	6
4	-	6
2	-	5
0	-	3
4	-	7
5	-	7
4	-	7
2	-	3
3	-	7
0	-	6
2	-	5
0	-	2
3	-	6
0	-	3
4	-	7
6	-	7
1	-	5
4	-	5
1	-	4
2	-	5
********************************************************************************


