1040884089	1	49	53511	2
1341286642	2	50	58106	0
1817934312	4	19	35621	3
1222164729	1	46	56957	6
599499950	6	8	15271	8
1252485249	3	28	35650	5
480345547	1	30	29460	6
406588171	7	14	22381	2
1530943095	6	15	17206	3
1914136452	4	6	9026	5
165506539	5	14	22001	0
44451946	5	16	21591	3
1904092929	1	24	35985	3
1136661200	6	39	65506	4
6250726	1	49	72005	1
18048550	1	38	36709	1
555708076	3	41	62548	1
923332334	3	6	7951	7
1415081509	4	34	52683	2
326537660	2	7	11099	8
40051506	2	30	27270	0
1007803291	2	42	74792	3
645529565	2	34	51562	5
1188808881	3	26	49370	3
1338678894	3	22	41818	3
1198279828	2	38	70179	5
153218764	4	22	27966	1
1259375938	1	29	56924	0
167748265	1	20	36314	0
35365372	1	2	2600	6
1511323648	2	35	41409	4
732725780	4	15	18679	3
337651275	2	24	40770	6
748339848	7	33	59658	6
322279737	1	44	51005	4
420559568	3	42	41876	0
1795794614	1	13	21561	2
428335338	6	4	7103	1
1278702895	3	44	83506	5
1214843997	2	4	6021	4
902675286	6	20	25145	7
1028227843	2	19	34671	1
1568254371	1	47	88445	8
115897920	3	40	76515	5
1022347255	2	18	22252	2
399387448	1	33	61971	7
1743551907	2	33	47168	8
1994627020	2	46	71827	1
1771082143	1	37	43848	4
1354653005	2	12	18005	0
638293830	1	47	84262	8
148777379	4	39	69882	0
833913392	2	22	30236	2
798697391	2	35	64710	1
1333505864	2	23	31817	1
172858410	5	9	17377	0
324437450	1	26	35761	0
817839308	3	23	40589	2
812593768	2	24	29766	2
394649465	6	19	26665	2
1237218746	1	2	3489	3
1431813182	1	39	47743	7
72735257	2	8	13661	4
808408365	3	21	38237	4
999594978	5	7	13712	1
309783482	1	1	1908	0
1542056721	3	20	25184	3
55931942	1	22	41512	7
1731623163	4	45	55582	1
328507857	5	14	24959	7
1295027039	1	19	29098	4
1521044620	4	48	55492	3
35562569	2	39	58404	6
293034308	1	17	20949	1
1466389153	2	10	16846	7
49182419	5	18	32812	6
1135436055	1	23	35800	2
842984299	2	18	23081	0
1074522473	2	23	33567	6
1665856586	4	41	67714	6
1545584559	3	37	59664	0
1647739806	1	32	58808	6
660621075	3	12	12336	1
1998019802	3	36	68428	6
1247582295	2	17	30306	6
1890939094	2	33	39008	0
1400045033	1	47	49068	7
1702047756	3	46	58613	8
1896249625	4	9	15422	5
1384966036	4	43	65983	1
1083573378	1	19	25941	1
1078087809	2	26	47210	3
569671978	4	20	38479	1
892811790	6	46	58432	7
263323839	3	40	50333	7
3005556	4	28	27581	0
1164916492	1	47	70852	2
945637073	2	41	63859	5
1496149615	3	14	23290	8
281505657	1	25	26953	5
107978489	2	47	93340	6
1229457970	5	47	92493	8
1559338449	3	21	41767	7
207193222	1	34	55750	2
764423964	4	26	36879	2
880258026	2	23	23299	7
87712221	4	11	18696	3
1684303463	2	16	23974	0
1585596105	4	28	45291	4
1080878088	1	50	54754	1
1640956612	5	20	23181	4
48177318	6	29	49932	6
1662976298	7	24	32718	4
100830831	2	19	34785	2
277057706	4	35	57144	3
1807255762	1	33	59588	4
1805495586	5	28	45627	2
655005501	3	29	42499	3
285613566	1	11	16385	6
392166726	3	14	16172	4
103162693	5	23	26798	8
1451865187	4	24	29548	3
1104943006	3	3	4513	3
831363137	3	3	3357	0
913748902	4	5	6826	5
1373087309	5	21	28251	5
1785773612	2	44	72845	6
822759800	5	8	10058	4
