1040884089	1
1341286642	2
1817934312	4
1222164729	1
599499950	6
1252485249	3
480345547	1
406588171	7
1530943095	6
1914136452	4
165506539	5
44451946	5
1904092929	1
1136661200	6
6250726	1
18048550	1
555708076	3
923332334	3
1415081509	4
326537660	2
40051506	2
1007803291	2
645529565	2
1188808881	3
1338678894	3
1198279828	2
153218764	4
1259375938	1
167748265	1
35365372	1
1511323648	2
732725780	4
337651275	2
748339848	7
322279737	1
420559568	3
1795794614	1
428335338	6
1278702895	3
1214843997	2
902675286	6
1028227843	2
1568254371	1
115897920	3
1022347255	2
399387448	1
1743551907	2
1994627020	2
1771082143	1
1354653005	2
638293830	1
148777379	4
833913392	2
798697391	2
1333505864	2
172858410	5
324437450	1
817839308	3
812593768	2
394649465	6
1237218746	1
1431813182	1
72735257	2
808408365	3
999594978	5
309783482	1
1542056721	3
55931942	1
1731623163	4
328507857	5
1295027039	1
1521044620	4
35562569	2
293034308	1
1466389153	2
49182419	5
1135436055	1
842984299	2
1074522473	2
1665856586	4
1545584559	3
1647739806	1
660621075	3
1998019802	3
1247582295	2
1890939094	2
1400045033	1
1702047756	3
1896249625	4
1384966036	4
1083573378	1
1078087809	2
569671978	4
892811790	6
263323839	3
3005556	4
1164916492	1
945637073	2
1496149615	3
281505657	1
107978489	2
1229457970	5
1559338449	3
207193222	1
764423964	4
880258026	2
87712221	4
1684303463	2
1585596105	4
1080878088	1
1640956612	5
48177318	6
1662976298	7
100830831	2
277057706	4
1807255762	1
1805495586	5
655005501	3
285613566	1
392166726	3
103162693	5
1451865187	4
1104943006	3
831363137	3
913748902	4
1373087309	5
1785773612	2
822759800	5
